epoch,train_acc_mean,train_acc_min,train_acc_max,train_acc_npos,train_ploss_mean,train_ploss_min,train_ploss_max,train_ploss_npos,test_acc_mean,test_acc_min,test_acc_max,test_acc_npos,test_ploss_mean,test_ploss_min,test_ploss_max,test_ploss_npos,generalization_gap_acc,generalization_gap_ploss
1,0.016428571428571428,0.0078,0.024,7,2.256846,2.158864,2.401674,7,0.009342857142857142,0.0072,0.0112,7,1.4859935714285715,1.427674,1.59519,7,0.0070857142857142855,-0.7708524285714284
2,0.009171428571428572,0.0068,0.0118,7,1.3230265714285714,1.266567,1.431429,7,0.009342857142857142,0.0069,0.0116,7,1.218538857142857,1.170262,1.317532,7,-0.00017142857142857064,-0.10448771428571435
3,0.009114285714285714,0.0067,0.0118,7,1.0294794285714286,0.979432,1.127897,7,0.009471428571428572,0.0076,0.012,7,1.098863,1.069693,1.17184,7,-0.00035714285714285796,0.06938357142857132
4,0.009514285714285715,0.0065,0.0125,7,0.8309725714285714,0.788037,0.919132,7,0.0072,0.0064,0.0084,7,1.0047084285714285,0.973012,1.071985,7,0.002314285714285715,0.1737358571428571
5,0.009842857142857143,0.0064,0.0129,7,0.6871848571428572,0.649765,0.764591,7,0.007842857142857143,0.0067,0.0095,7,0.9570704285714287,0.929585,1.004555,7,0.002,0.2698855714285715
6,0.01007142857142857,0.0064,0.0136,7,0.576135,0.555482,0.612745,6,0.007814285714285715,0.0068,0.0089,7,0.9228462857142857,0.906796,0.955401,7,0.002257142857142855,0.3467112857142858
7,0.0097,0.0064,0.0131,7,0.5246149999999999,0.49875,0.579276,7,0.007671428571428571,0.0062,0.0093,7,0.9233618571428571,0.910047,0.948512,7,0.002028571428571429,0.3987468571428572
8,0.009157142857142858,0.0064,0.0124,7,0.47708083333333334,0.462824,0.50134,6,0.007357142857142858,0.0064,0.0088,7,0.9110487142857142,0.899232,0.934886,7,0.0018000000000000004,0.43396788095238087
9,0.008742857142857142,0.0064,0.0117,7,0.46011314285714283,0.442494,0.496981,7,0.006142857142857143,0.0056,0.0065,7,0.9033134285714286,0.892073,0.919214,7,0.0026,0.44320028571428577
10,0.008414285714285714,0.0063,0.011,7,0.4441294285714286,0.429815,0.474212,7,0.006728571428571428,0.0065,0.0072,7,0.9063567142857142,0.895418,0.924124,7,0.001685714285714286,0.46222728571428556
11,0.007971428571428572,0.0063,0.01,7,0.432296,0.420452,0.45662,7,0.006057142857142857,0.0057,0.0065,7,0.8971722857142856,0.888962,0.909142,7,0.0019142857142857147,0.46487628571428563
12,0.0077428571428571425,0.0063,0.0095,7,0.423216,0.413379,0.443802,7,0.006242857142857143,0.0056,0.0068,7,0.8876442857142858,0.877254,0.902081,7,0.0014999999999999996,0.4644282857142858
13,0.0074571428571428575,0.0063,0.009,7,0.41599314285714284,0.407455,0.432831,7,0.006628571428571428,0.0063,0.0074,7,0.8818194285714286,0.8717,0.893621,7,0.0008285714285714294,0.46582628571428575
14,0.007271428571428572,0.0063,0.0086,7,0.41091114285714286,0.40387,0.424872,7,0.006371428571428571,0.0057,0.0068,7,0.8770351428571429,0.866533,0.890711,7,0.0009000000000000006,0.46612400000000004
15,0.0070857142857142855,0.0063,0.0082,7,0.40353716666666667,0.399576,0.409662,6,0.0064285714285714285,0.0061,0.0067,7,0.8755627142857143,0.867563,0.887764,7,0.000657142857142857,0.47202554761904764
16,0.006942857142857144,0.0063,0.0079,7,0.40148599999999995,0.396613,0.411282,7,0.0063,0.0061,0.0067,7,0.8660092857142858,0.857745,0.878229,7,0.0006428571428571438,0.46452328571428586
17,0.0068142857142857146,0.0063,0.0076,7,0.3974907142857143,0.393625,0.405479,7,0.006271428571428572,0.0059,0.0064,7,0.8668642857142858,0.854934,0.87997,7,0.0005428571428571427,0.46937357142857145
18,0.006685714285714286,0.0063,0.0073,7,0.3943867142857143,0.390877,0.401277,7,0.0064,0.0061,0.0066,7,0.8567361428571428,0.849092,0.878166,7,0.00028571428571428584,0.4623494285714285
19,0.006614285714285714,0.0063,0.0071,7,0.3922822857142857,0.389076,0.398204,7,0.006542857142857143,0.0063,0.0069,7,0.8662077142857143,0.858942,0.876967,7,7.142857142857124e-05,0.4739254285714286
20,0.006528571428571428,0.0063,0.0069,7,0.38932085714285714,0.386743,0.394252,7,0.005928571428571429,0.0057,0.0061,7,0.8573005714285714,0.848553,0.868758,7,0.000599999999999999,0.4679797142857143
21,0.006442857142857143,0.0063,0.0067,7,0.3870992857142857,0.385036,0.391076,7,0.006642857142857143,0.0064,0.0068,7,0.8514557142857143,0.840234,0.863501,7,-0.00019999999999999966,0.4643564285714286
22,0.006414285714285714,0.0063,0.0066,7,0.38427933333333336,0.383055,0.385895,6,0.006257142857142857,0.006,0.0067,7,0.844752,0.834399,0.864563,7,0.00015714285714285743,0.4604726666666666
23,0.006371428571428571,0.0063,0.0065,7,0.3831922857142857,0.381583,0.386037,7,0.006228571428571429,0.0061,0.0064,7,0.8470542857142858,0.839101,0.861704,7,0.0001428571428571425,0.46386200000000005
24,0.006371428571428571,0.0063,0.0065,7,0.3812515714285714,0.380003,0.383701,7,0.006242857142857143,0.0059,0.0066,7,0.841833142857143,0.831053,0.853685,7,0.0001285714285714284,0.46058157142857153
